scenario,month,active_pib,token_price_usd,storage_price_usd_per_gibmonth,issuance_monthly_nil,bps,cost_usd_per_gibmonth
Slow (10 PiB cap),0,0.0816257115315989,0.00972390315065834,0.00972390315065834,3637.6073890357084,425.0,0.010180926598739282
Slow (10 PiB cap),1,0.09013298652847822,0.009607509335048389,0.009607509335048389,3804.5492389628603,402.5497250726774,0.010037493151201797
Slow (10 PiB cap),2,0.09951801866904317,0.009491490229954375,0.009491490229954375,3979.570375281643,381.3594872561357,0.009896168920728372
Slow (10 PiB cap),3,0.1098694263059318,0.00937593167617477,0.00937593167617477,4163.083524983161,361.3585661014858,0.009756930691354358
Slow (10 PiB cap),4,0.12128434984274236,0.009260914050550524,0.009260914050550524,4355.521474891427,342.48021039363994,0.009619756143024998
Slow (10 PiB cap),5,0.1338691782766478,0.009146512604018074,0.009146512604018074,4557.337462773352,324.66141537533633,0.00948462388351304
Slow (10 PiB cap),6,0.14774031693273054,0.009032797795156719,0.009032797795156719,4769.005427116648,307.842712474619,0.009351513482684504
Slow (10 PiB cap),7,0.16302499371440932,0.008919835618258884,0.008919835618258884,4991.020077943128,291.96797083400685,0.009220405509104643
Slow (10 PiB cap),8,0.1798620996209156,0.008807687925107633,0.008807687925107633,5223.896744581811,276.9842099789746,0.009091281568938346
Slow (10 PiB cap),9,0.198403057340775,0.008696412739770867,0.008696412739770867,5468.170949137046,262.8414230005442,0.008964124347051978
Slow (10 PiB cap),10,0.21881270936130467,0.008586064565815675,0.008586064565815675,5724.397646453966,249.4924096618746,0.008838917650165624
Slow (10 PiB cap),11,0.24127021417669198,0.00847669468540939,0.00847669468540939,5993.150062745711,236.89261887185907,0.008715646451834114
Slow (10 PiB cap),12,0.26596993576865857,0.00836835144980543,0.00836835144980543,6275.0180557925305,225.0,0.008594296938950176
Slow (10 PiB cap),13,0.2931223075135632,0.008261080560712002,0.008261080560712002,6570.605909906175,213.7748625363387,0.008474856559361987
Slow (10 PiB cap),14,0.322954646984505,0.008154925342009359,0.008154925342009359,6880.529468914912,203.17974362806785,0.00835731407007795
Slow (10 PiB cap),15,0.35571189272636167,0.008049927001216295,0.008049927001216295,7205.412500616125,193.1792830507429,0.008241659585392346
Slow (10 PiB cap),16,0.3916572279676435,0.007946124880008499,0.007946124880008499,7545.882176952176,183.74010519681997,0.008127884624104518
