  PID  %CPU COMM
30130   0.0 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
30083   0.0 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
30080   0.0 /usr/libexec/inputanalyticsd
29975   0.0 /usr/libexec/sandboxd
29963   0.0 /System/Library/PrivateFrameworks/MessagesBlastDoorSupport.framework/Versions/A/XPCServices/MessagesBlastDoorService.xpc/Contents/MacOS/MessagesBlastDoorService
29960   0.0 /System/Library/PrivateFrameworks/BusinessChatService.framework/businessservicesd
29922   0.0 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
29920   0.0 /usr/libexec/ospredictiond
29898   0.0 /usr/libexec/fskitd
29896   0.0 /System/Library/PrivateFrameworks/CommunicationTrust.framework/Support/communicationtrustd
29883   0.0 /usr/libexec/storagekitd
29879   0.0 /usr/libexec/neagent
29870   0.0 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
29876   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
29871   0.0 /usr/libexec/findmydevice-user-agent
29866   0.0 /usr/libexec/mobileactivationd
29864   0.0 /usr/libexec/containermanagerd_system
29863   0.0 /usr/libexec/findmydeviced
29861   0.0 /System/Library/Frameworks/Contacts.framework/Support/contactsd
29855   0.0 /usr/libexec/findmylocateagent
29852   0.0 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
29849   0.0 /usr/libexec/proactived
29846   0.0 /usr/libexec/gamecontrolleragentd
29842   0.0 /usr/libexec/gamecontrollerd
29655   0.0 /System/Library/CoreServices/ScopedBookmarkAgent
29612   0.0 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
29593   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
29550   0.0 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
29535   0.0 /usr/libexec/feedbackd
29534   0.0 /usr/libexec/assessmentagent
29530   0.0 /System/Library/PrivateFrameworks/IntelligenceFlowRuntime.framework/Versions/A/intelligenceflowd
29527   0.0 /usr/libexec/online-auth-agent
28284   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
28280   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node_repl
27418   0.0 /System/Library/PrivateFrameworks/StorageManagement.framework/Resources/diskspaced
27391   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
27348   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
27062   0.0 /System/Library/PrivateFrameworks/SkyLight.framework//Versions/A/Resources/AquaAppearanceHelper.app/Contents/MacOS/AquaAppearanceHelper
26022   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
24743   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
24679   0.0 /usr/libexec/searchpartyuseragent
24613   0.0 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
24474   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
24461   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
24460   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
24426   0.0 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
24384   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
24382   0.0 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
24369   0.0 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
24368   0.0 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
24365   0.0 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
24364   0.0 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPArtworkAgent
24360   0.0 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
24356   0.0 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
