  PID  %CPU COMM
10734   0.0 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
10715   0.0 /System/Applications/QuickTime Player.app/Contents/MacOS/QuickTime Player
63877   0.0 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
36672   0.0 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/PrintCore.framework/Versions/A/printtool
46183   0.0 /System/Library/Frameworks/ImageCaptureCore.framework/Versions/A/XPCServices/mscamerad-xpc.xpc/Contents/MacOS/mscamerad-xpc
46184   0.0 /usr/libexec/ptpcamerad
46178   0.0 /System/Applications/Preview.app/Contents/MacOS/Preview
86083   0.0 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
81270   0.0 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
79287   0.0 /Applications/Docker.app/Contents/MacOS/Docker Desktop.app/Contents/Frameworks/Docker Desktop Helper.app/Contents/MacOS/Docker Desktop Helper
79275   0.0 /Applications/Docker.app/Contents/MacOS/Docker Desktop.app/Contents/Frameworks/Docker Desktop Helper (GPU).app/Contents/MacOS/Docker Desktop Helper (GPU)
79225   0.0 /Applications/Docker.app/Contents/MacOS/Docker Desktop.app/Contents/MacOS/Docker Desktop
79224   0.0 com.docker.build
79222   0.0 com.docker.dev-envs
79206   0.0 /Applications/Docker.app/Contents/MacOS/com.docker.backend
79199   0.0 /Applications/Docker.app/Contents/MacOS/com.docker.backend
66807   0.0 /System/Applications/Mail.app/Contents/PlugIns/com.apple.mail.SpotlightIndexExtension.appex/Contents/MacOS/com.apple.mail.SpotlightIndexExtension
66806   0.0 /System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.SpotlightIndexExtension.appex/Contents/MacOS/com.apple.Notes.SpotlightIndexExtension
66802   0.0 /System/Applications/Reminders.app/Contents/PlugIns/RemindersSpotlightIndexExtension.appex/Contents/MacOS/RemindersSpotlightIndexExtension
66785   0.0 /System/Library/Frameworks/Contacts.framework/PlugIns/ContactsCoreSpotlightExtension.appex/Contents/MacOS/ContactsCoreSpotlightExtension
66780   0.0 /System/Applications/Books.app/Contents/PlugIns/BooksSpotlightExtension.appex/Contents/MacOS/BooksSpotlightExtension
88270   0.0 /System/Applications/Messages.app/Contents/MacOS/Messages
60080   0.0 /usr/libexec/aned
88543   0.0 /usr/libexec/wifivelocityd
80382   0.0 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
75632   0.0 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/universalAccessAuthWarn.app/Contents/MacOS/universalAccessAuthWarn
72205   0.0 /usr/sbin/distnoted
68451   0.0 /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributionagent
27685   0.0 /System/Library/CoreServices/ControlCenter.app/Contents/PlugIns/DisplayControls.appex/Contents/MacOS/DisplayControls
39246   0.0 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
39237   0.0 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
36126   0.0 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
27056   0.0 /Users/michaelseiler/.openclaw/npm/node_modules/@openclaw/codex/node_modules/@openai/codex-darwin-arm64/vendor/aarch64-apple-darwin/bin/codex
27055   0.0 node
16332   0.0 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
13045   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
12861   0.0 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged
 6497   0.0 /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributiond
 6465   0.0 /usr/sbin/distnoted
 6453   0.0 /System/Library/PrivateFrameworks/People.framework/peopled
 5078   0.0 /usr/bin/ssh-agent
 4459   0.0 /System/Library/CoreServices/CrashReporterSupportHelper
 3390   0.0 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
 3373   0.0 /Users/michaelseiler/Library/Application Support/iTerm2/iTermServer-3.6.11
 3348   0.0 /Users/michaelseiler/Library/Application Support/Steam/Steam.AppBundle/Steam/Contents/MacOS/ipcserver
 3320   0.0 /System/Applications/System Settings.app/Contents/PlugIns/csimporter.appex/Contents/MacOS/csimporter
 3309   0.0 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
 3302   0.0 /usr/sbin/distnoted
 3280   0.0 /usr/sbin/systemstats
 1567   0.0 /System/Library/CoreServices/diagnostics_agent
 3259   0.0 /usr/sbin/mDNSResponderHelper
  561   0.0 /System/Library/CoreServices/SubmitDiagInfo
 3212   0.0 /usr/sbin/distnoted
 1614   0.0 /usr/sbin/distnoted
 1584   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 1565   0.0 com.apple.weather.menu
 1571   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 1563   0.0 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent
 1568   0.0 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
 1541   0.0 /usr/sbin/distnoted
 1502   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
 1480   0.0 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
 1479   0.0 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
 1476   0.0 /usr/sbin/distnoted
 1475   0.0 /usr/sbin/distnoted
 1449   0.0 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
 1444   0.0 /System/Library/Image Capture/Support/icdd
 1435   0.0 /usr/libexec/wifianalyticsd
 1426   0.0 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
 1427   0.0 /usr/libexec/avconferenced
 1421   0.0 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
 1415   0.0 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
 1403   0.0 /System/Library/ExtensionKit/Extensions/HostInferenceProviderService.appex/Contents/MacOS/HostInferenceProviderService
 1404   0.0 /usr/sbin/distnoted
 1394   0.0 /System/Library/CoreServices/lockoutagent
 1391   0.0 /usr/libexec/milod
 1388   0.0 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
 1367   0.0 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
 1355   0.0 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
 1353   0.0 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
 1352   0.0 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
 1351   0.0 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
 1350   0.0 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
 1348   0.0 /System/Applications/Photos.app/Contents/PlugIns/PhotosReliveWidget.appex/Contents/MacOS/PhotosReliveWidget
 1345   0.0 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
 1344   0.0 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem
 1341   0.0 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
 1338   0.0 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  674   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
 1335   0.0 /usr/libexec/sharingd
 1334   0.0 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget
 1333   0.0 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetPeople.appex/Contents/MacOS/FindMyWidgetPeople
 1331   0.0 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
 1325   0.0 /usr/sbin/usernoted
 1169   0.0 /Library/SystemExtensions/8231166D-0705-41D1-8A8F-636EB6F812F3/io.tailscale.ipn.macsys.network-extension.systemextension/Contents/MacOS/io.tailscale.ipn.macsys.network-extension
 1099   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  690   0.0 -zsh
  686   0.0 /usr/bin/login
  681   0.0 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  676   0.0 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension
  675   0.0 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  663   0.0 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent
  667   0.0 /usr/libexec/rosetta/oahd
  665   0.0 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  664   0.0 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  658   0.0 /usr/libexec/gamepolicyd
  653   0.0 /System/Library/CoreServices/sharedfilelistd
  652   0.0 automountd
  637   0.0 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  641   0.0 /usr/sbin/filecoordinationd
  638   0.0 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  636   0.0 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  630   0.0 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  629   0.0 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  628   0.0 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  627   0.0 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  625   0.0 /Applications/Tailscale.app/Contents/MacOS/Tailscale
  623   0.0 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  619   0.0 /usr/libexec/nsurlsessiond
  618   0.0 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  614   0.0 /System/Library/CoreServices/audioaccessoryd
  610   0.0 /usr/libexec/nearbyd
  609   0.0 /usr/libexec/rapportd
  608   0.0 /Applications/kitty.app/Contents/MacOS/kitty
  607   0.0 /usr/libexec/wifip2pd
  605   0.0 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  603   0.0 /System/Library/CoreServices/talagentd
  598   0.0 /usr/sbin/distnoted
  600   0.0 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  597   0.0 /usr/libexec/secd
  593   0.0 /usr/libexec/trustd
  592   0.0 /usr/libexec/lsd
  585   0.0 /usr/libexec/ContinuityCaptureAgent
  587   0.0 /usr/libexec/pboard
  586   0.0 /usr/libexec/containermanagerd
  576   0.0 /usr/libexec/UserEventAgent
  584   0.0 /usr/sbin/universalaccessd
  573   0.0 /usr/sbin/cfprefsd
  572   0.0 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  571   0.0 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  564   0.0 /usr/sbin/distnoted
  560   0.0 /usr/sbin/distnoted
  558   0.0 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  555   0.0 /usr/sbin/distnoted
  544   0.0 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  543   0.0 /usr/libexec/cameracaptured
  542   0.0 /Library/PrivilegedHelperTools/com.docker.vmnetd
  541   0.0 /Applications/Private Internet Access.app/Contents/MacOS/pia-daemon
  538   0.0 /usr/libexec/searchpartyd
  537   0.0 /usr/libexec/modelmanagerd
  532   0.0 /usr/sbin/distnoted
  531   0.0 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  528   0.0 /usr/libexec/audioclocksyncd
  516   0.0 /usr/sbin/distnoted
  517   0.0 /System/Library/CoreServices/appleeventsd
  512   0.0 /usr/libexec/audiomxd
  509   0.0 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  511   0.0 /usr/sbin/WirelessRadioManagerd
  506   0.0 Core Audio Driver (ParrotAudioPlugin.driver)
  477   0.0 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  474   0.0 /usr/libexec/symptomsd
  475   0.0 /usr/sbin/mDNSResponder
  464   0.0 /usr/sbin/distnoted
  453   0.0 /usr/sbin/distnoted
  467   0.0 /usr/libexec/syspolicyd
  460   0.0 /usr/libexec/airportd
  426   0.0 /usr/libexec/ApplicationFirewall/socketfilterfw
  424   0.0 /usr/sbin/distnoted
  420   0.0 /usr/sbin/distnoted
  406   0.0 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  363   0.0 /usr/libexec/locationd
  410   0.0 /usr/libexec/eligibilityd
  402   0.0 /usr/libexec/nsurlsessiond
  401   0.0 /usr/libexec/apfsd
  397   0.0 /usr/libexec/lsd
  396   0.0 /usr/libexec/trustd
  395   0.0 /System/Library/CoreServices/coreservicesd
  393   0.0 /usr/libexec/runningboardd
  370   0.0 /usr/sbin/distnoted
  359   0.0 /usr/libexec/timed
  360   0.0 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  338   0.0 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  391   0.0 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
  390   0.0 /usr/sbin/cfprefsd
  388   0.0 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  330   0.0 /usr/libexec/IOMFB_bics_daemon
  385   0.0 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  358   0.0 /System/Library/CoreServices/launchservicesd
  320   0.0 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  354   0.0 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  364   0.0 /usr/libexec/nesessionmanager
  375   0.0 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  323   0.0 /usr/sbin/systemstats
  351   0.0 /usr/sbin/syslogd
  329   0.0 /System/Library/CoreServices/powerd.bundle/powerd
  384   0.0 /usr/libexec/AirPlayXPCHelper
  366   0.0 autofsd
  380   0.0 /usr/sbin/bluetoothd
  383   0.0 /usr/libexec/corebrightnessd
  376   0.0 /usr/sbin/KernelEventAgent
  319   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  315   0.0 /usr/libexec/logd
  353   0.0 /usr/libexec/thermalmonitord
  347   0.0 /usr/libexec/diskarbitrationd
  367   0.0 /usr/libexec/dasd
  361   0.0 /usr/sbin/securityd
  357   0.0 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  340   0.0 /usr/libexec/watchdogd
  344   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  381   0.0 /usr/sbin/notifyd
  334   0.0 /usr/libexec/remoted
  327   0.0 /usr/libexec/configd
  374   0.0 /System/Library/CoreServices/logind
  355   0.0 /usr/libexec/opendirectoryd
  368   0.0 /usr/libexec/corerepaird
  317   0.0 /usr/libexec/UserEventAgent
  346   0.0 /usr/libexec/kernelmanagerd
32618   0.0 ps
    1   0.0 /sbin/launchd
32608   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
32585   0.0 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
32584   0.0 /System/Library/PrivateFrameworks/SessionCore.framework/Support/liveactivitiesd
32583   0.0 /System/Library/PrivateFrameworks/WorkflowKit.framework/XPCServices/ShortcutsViewService.xpc/Contents/MacOS/ShortcutsViewService
32582   0.0 /System/Library/Frameworks/Contacts.framework/Support/postersyncd
32579   0.0 /System/Library/PrivateFrameworks/iCloudDriveService.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
32574   0.0 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
32572   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
32569   0.0 /usr/libexec/biomesyncd
32542   0.0 /System/Library/CoreServices/pbs
31706   0.0 /usr/libexec/findmybeaconingd
31485   0.0 /usr/libexec/sysmond
31480   0.0 /usr/libexec/amfid
31289   0.0 /usr/libexec/containermanagerd
31282   0.0 /usr/libexec/trustd
31278   0.0 /usr/sbin/cfprefsd
31276   0.0 /usr/libexec/secinitd
31274   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
31275   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
31251   0.0 /usr/libexec/containermanagerd
31233   0.0 /usr/libexec/trustdFileHelper
31229   0.0 /usr/libexec/trustd
31226   0.0 /usr/sbin/cfprefsd
31222   0.0 /usr/libexec/secinitd
31221   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
30903   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
